title,writer,company,publication,price,sell_count,review_count,score,site_link
파이썬 코딩의 기술(개정2판),브렛 슬라킨 저/오현석 역,길벗,2020년 10월,28800,6192,4,9.5,http://www.yes24.com/Product/Goods/94197582?OzSrank=36
이것이 MySQL이다,우재남 저/김성철 감수,한빛미디어,2020년 05월,28800,9900,13,9.6,http://www.yes24.com/Product/Goods/90118480?OzSrank=37
난생처음 컴퓨팅 사고 with 파이썬,김명호 저,한빛아카데미,2021년 01월,23000,5271,1,9.0,http://www.yes24.com/Product/Goods/96547422?OzSrank=38
손가락 하나 까딱하지 않는 주식 거래 시스템 구축,장용준 저,위키북스,2020년 04월,24300,16938,5,8.6,http://www.yes24.com/Product/Goods/89999945?OzSrank=39
인공지능,천인국 저,인피니티북스,2020년 02월,30000,6609,정보없음,정보없음,http://www.yes24.com/Product/Goods/87663844?OzSrank=40
밑바닥부터 시작하는 딥러닝 ,사이토 고키 저/개앞맵시 역,한빛미디어,2017년 01월,21600,40950,25,9.5,http://www.yes24.com/Product/Goods/34970929?OzSrank=1
핸즈온 머신러닝,오렐리앙 제롱 저/박해선 역,한빛미디어,2020년 05월,49500,48240,13,9.1,http://www.yes24.com/Product/Goods/89959711?OzSrank=2
밑바닥부터 시작하는 딥러닝 2,사이토 고키 저/개앞맵시 역,한빛미디어,2019년 05월,26100,18468,12,9.8,http://www.yes24.com/Product/Goods/72173703?OzSrank=3
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),이경택방성수안상준 저,정보문화사,2020년 10월,22500,11292,21,9.7,http://www.yes24.com/Product/Goods/93376077?OzSrank=4
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),이경택방성수안상준 저,정보문화사,2020년 11월,17000,1092,정보없음,정보없음,http://www.yes24.com/Product/Goods/95785880?OzSrank=5
Deep Learning,Ian Goodfellow /  Yoshua Bengio /  Aaron Courville /  Francis Bach,MIT Press,2016년 12월,69000,1176,3,9.4,http://www.yes24.com/Product/Goods/28959219?OzSrank=6
케라스 창시자에게 배우는 딥러닝,프랑소와 숄레 저/박해선 역,길벗,2018년 10월,29700,11040,8,8.9,http://www.yes24.com/Product/Goods/65050162?OzSrank=7
Neural Networks and Deep Learning,Aggarwal Charu C.,Springer-Verlag New York Inc,2018년 11월,69000,180,정보없음,정보없음,http://www.yes24.com/Product/Goods/61373350?OzSrank=8
Artificial Intelligence Engines: A Tutorial Introduction to the Mathematics of Deep Learning,Stone James V.,Sebtel Press,2019년 04월,34980,84,정보없음,정보없음,http://www.yes24.com/Product/Goods/72014657?OzSrank=9
Java Deep Learning Projects,Rezaul Karim,Packt Publishing,2018년 06월,49000,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/63624090?OzSrank=10
Deep Learning Javaプログラミング 深層學習の理論と實裝,스고모리 유우스케 저,インプレス,2016년 10월,47380,42,정보없음,정보없음,http://www.yes24.com/Product/Goods/32537847?OzSrank=11
Deep Reinforcement Learning in Unity: With Unity ML Toolkit,Majumder Abhilash,Apress,2020년 12월,70090,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/94749708?OzSrank=12
Deep Reinforcement Learning Hands-On 2/E,Maxim Lapan,Packt Publishing,2020년 01월,55000,390,정보없음,정보없음,http://www.yes24.com/Product/Goods/87753436?OzSrank=13
Hands-On Deep Learning for IoT,Karim MD Rezaul  /  Razzaque Mohammad Abdur,Packt Publishing,2019년 06월,35000,96,정보없음,정보없음,http://www.yes24.com/Product/Goods/76708613?OzSrank=14
Data Orchestration in Deep Learning Accelerators,Krishna Tushar  /  Kwon Hyoukjun  /  Parashar Angshuman,Morgan & Claypool,2020년 08월,89700,54,정보없음,정보없음,http://www.yes24.com/Product/Goods/92373799?OzSrank=15
